№ п/п,№ п/п (по субъектам),"Регистрационный номер в едином государственном реестре объектов культурного наследия (памятников истории 
и культуры) народов Российской Федерации",Наименование объекта культурного наследия,"Датировка, автор",Категория историко-культурного значения объекта культурного наследия,Вид объекта культурного наследия,"Номер акта органа государственной власти
о постановке
на государственную охрану
и о внесении
изменений
в описание*",Тип улицы,Название улицы,Номер дома
Муниципальное образование город Алапаевск,,,,,,,,,,
1,1,661720817730005,"Улица Красной Армии 
от ул. Р. Люксембург 
до ул. Чайковского 
с существующей застройкой",XIX-XX вв.,регионального значения,ансамбль,75,,г. Алапаевск,
2,2,661710817730015,Особняк,,регионального значения,памятник,,Улица,Красной Армии,3
3,3,661410817730025,Особняк,,регионального значения,памятник,,Улица,Красной Армии,4
4,4,661410817730035,Особняк,,регионального значения,памятник,,Улица,Красной Армии,5
5,5,661710817730045,Особняк,,регионального значения,памятник,,Улица,Красной Армии,6
6,6,661710817730055,Особняк,,регионального значения,памятник,,Улица,Красной Армии,9
7,7,661710817730065,Особняк,,регионального значения,памятник,,Улица,Красной Армии,10
8,8,661710817730075,Особняк,,регионального значения,памятник,,Улица,Красной Армии,11
9,9,661710842330005,"Дом, где в 1905 г. заседал первый на Урале Совет рабочих депутатов",,регионального значения,памятник,75,Улица,Ленина,18
10,10,661710943680005,Бывший дом управителя Алапаевского металлургического завода,XVIII в.,регионального значения,памятник,454,Улица,Ленина,23
11,11,661710842320005,Здание бывшего управления горного округа,,регионального значения,памятник,454,Улица,Ленина,33
12,12,661710842340006,Старый Нейво-Алапаевский завод,1826 г.,федерального значения,памятник,636; 624,,"Металлургический завод
(на правом берегу
р. Алапаиха, примерно в 72 м по направлению на север от здания Дворца культуры 
по ул. Ленина, д. 24)",
13,13,661710842350006,Зал и водяная турбина,1896 г.,федерального значения,памятник,636; 624,Улица,Коробкина,14к19
14,14,661710943750005,Здание бывшего реального училища,,регионального значения,памятник,454,Улица,Павлова,12
15,15,661710943760005,"Дом, в котором находилась большевистская подпольная типография",,регионального значения,памятник,454,Улица,Павлова,20
16,16,661710943770005,Дом жилой,"вторая половина
XIX в.",регионального значения,памятник,454; 207-ПП,Улица,Павлова,29
17,17,661710842390005,"Дом, в котором в 1918 г. находился штаб Красной гвардии, здесь же был сформирован красногвардейский отряд 
С.А. Павлова",,регионального значения,памятник,454,Улица,Павлова,33
18,18,661710943740005,Здание ремесленного училища,"1896 г.,
1898-1910 гг., 
1930-е гг., 1952-1953 гг.",регионального значения,памятник,454; 207-ПП,Улица,Павлова,41
19,19,661710842400005,"Бывший дом Копылова, 
в котором в 1905-1906 гг. находилась конспиративная квартира алапаевских большевиков и в 1906 г. останавливался 
Я.М. Свердлов",,регионального значения,памятник,454,Улица,Павлова,129
20,20,661710842380005,Здание земской школы,1915 г.,регионального значения,памятник,75; 207-ПП,Улица,Перминова,58
21,21,661710943730005,Жилой дом,XIX-XX вв.,регионального значения,памятник,75,Улица,Пушкина,33
