ИТР,Улица,ITR Street,3,,
Алая,Улица,Alaya Street,4,,
Мира,Улица,Mira Street,4,,
Белый,Переулок,Beliy Lane,5,,
Малый,Переулок,Malyi Lane,5,,
Сухой,Переулок,Sukhoy Lane,5,,
Талый,Переулок,Taliy Lane,5,,
Тихий,Переулок,Tikhiy Lane,5,,
Узкий,Переулок,Uzkiy Lane,5,,
Щучий,Переулок,Shchuchiy Lane,5,,
Южный,Переулок,Yuzhny Lane,5,,
Труда,Площадь,Truda Square,5,,
Южный,Проезд,Yuzhny Drive,5,,
Исток,Станция,Istok Station,5,,
9 Мая,Улица,9 Maya Street,5,,
Азина,Улица,Azina Street,5,,
Деева,Улица,Deyeva Street,5,,
МОПРа,Улица,MOPRa Street,5,,"4–8 знаков
длинна 1330 мм"
Новая,Улица,Novaya Street,5,,
Пески,Улица,Pyeski Street,5,,
Труда,Улица,Truda Street,5,,
Хутор,Улица,Khutor Street,5,,"9–13 знаков
длина 1630 мм"
Щорса,Улица,Shchorsa Street,5,,
Южная,Улица,Yuzhnaya Street,5,,
Яркая,Улица,Yarkaya Street,5,,"14 и более знаков
длина 1930 мм"
Ясная,Улица,Yasnaya Street,5,,
Речной,Бульвар,Rechnoy Boulevard,6,,
Акаций,Переулок,Akatsiy Lane,6,,
Банный,Переулок,Banniy Lane,6,,
Бодрый,Переулок,Bodry Lane,6,,
Боевой,Переулок,Boyevoy Lane,6,,
Врачей,Переулок,Vrachey Lane,6,,
Дружбы,Переулок,Druzhby Lane,6,,
Ежовый,Переулок,Yezhovy Lane,6,,
Ершова,Переулок,Yershova Lane,6,,
Званый,Переулок,Zvany Lane,6,,
Лесной,Переулок,Lesnoy Lane,6,,
Музыки,Переулок,Muzyki Lane,6,,
Прямой,Переулок,Pryamoy Lane,6,,
Речной,Переулок,Rechnoy Lane,6,,
Ржаной,Переулок,Rzhanoy Lane,6,,
Удалой,Переулок,Udaloy Lane,6,,
Уютный,Переулок,Uyutny Lane,6,,
Чупина,Переулок,Chupina Lane,6,,
Шорный,Переулок,Shorniy Lane,6,,
Яровой,Переулок,Yarovoy Lane,6,,
Ермака,Площадь,Yermaka Square,6,,
Кирова,Площадь,Kirova Square,6,,
Первый,Проезд,Perviy Drive,6,,
Ленина,Проспект,Lenina Avenue,6,,
Седова,Проспект,Sedova Avenue,6,,
Артёма,Улица,Artyoma Street,6,,
Бажова,Улица,Bazhova Street,6,,
Бебеля,Улица,Bebelya Street,6,,
Вакина,Улица,Vakina Street,6,,
Видная,Улица,Vidnaya Street,6,,
Водная,Улица,Vodnaya Street,6,,
Воинов,Улица,Voinov Street,6,,
Глухая,Улица,Glukhaya Street,6,,
Гоголя,Улица,Gogolya Street,6,,
Грачей,Улица,Grachey Street,6,,
Дачная,Улица,Dachnaya Street,6,,
Дивная,Улица,Divnaya Street,6,,
Дружбы,Улица,Druzhby Street,6,,
Ермака,Улица,Yermaka Street,6,,
Зимняя,Улица,Zimnyaya Street,6,,
Ивовая,Улица,Ivovaya Street,6,,
Ильича,Улица,Ilyicha Street,6,,
Кирова,Улица,Kirova Street,6,,
Крауля,Улица,Kraulya Street,6,,
Крутая,Улица,Krutaya Street,6,,
Ленина,Улица,Lenina Street,6,,
Лесная,Улица,Lesnaya Street,6,,
Летняя,Улица,Letnyaya Street,6,,
Лунная,Улица,Lunnaya Street,6,,
Марата,Улица,Marata Street,6,,
Медная,Улица,Mednaya Street,6,,
Мятная,Улица,Myatnaya Street,6,,
Нижняя,Улица,Nizhnyaya Street,6,,
Омская,Улица,Omskaya Street,6,,
